Recipe ID	Recipe Name	Ingredients	Instructions	Total GHG	Energy (g)
-----------------------------------------------------------
1	Rice	Rice: 450, Water: 0		209.90	256.50
2	Tender and Moist Roast Beef	Water: 60, Beef: 400, Other seasoning: 35, Butter: 20, Other leafy vegetables: 0, Sugar: 5, Edible oil: 8, Lettuce: 0, Other citrus fruits: 0	['(1) Sprinkle A evenly on both sides of the beef and let it sit for at least 15 minutes (outside of that time). ', '(2) Heat the olive oil in a frying pan, add the beef from (1), and fry for 90 seconds on each side over high heat. When the whole side is browned, wrap it in aluminum foil and let it rest for about 15 minutes (time outside). Reserve the meat juices from the grill. ', '(3) Put the meat juice from (2) and B into a small pot, heat, and bring to a boil to make the sauce. ', '(4) Cut the beef from (2) into bite-sized pieces, place on a plate, and add baby leaves, lemon, and the sauce from (3). ']	1393.08	309.97
3	Flavored Roast Beef	Water: 50, Beef: 400, Other seasoning: 70.5, Sugar: 6, Edible oil: 8, Lettuce: 0, Other citrus fruits: 0, Onion: 100, Other root vegetables: 6, Other alcohol: 50, Salt: 0, Soy sauce: 57.5	['(1) Bring the beef to room temperature and rub it with A. ', '(2) Heat olive oil in a frying pan, add the beef from (1), and sear the surface over high heat. Bake each side for about 90 seconds, and once all sides are baked, wrap in aluminum foil and leave to cool (outside of time). Reserve the meat juices. ', '(3) Put the meat juice from (2) and B into a small pot, heat, and simmer for 4 to 5 minutes to make the sauce. ', '(4) Cut the beef from (2) into easy-to-eat pieces and place in a bowl, top with the sauce from (3), and garnish with baby leaves and lemon. ']	1411.04	324.21
4	Beef Soboro Rice with Broth	Rice: 300, Water: 0, Beef: 100, Other seasoning: 36, Other root vegetables: 6, Soy sauce: 36, Burdock: 80, Flavor seasoning: 8, Green onion: 0	['(1) Wash the rice, soak it in water for at least 30 minutes (outside of that time), and drain it in a colander. ', '(2) Cut the burdock in half lengthwise, cut into 3mm-wide half-moons, and soak in vinegar water to drain. Cut the ginger into 1cm long pieces. ', '(3) Put rice and A from (1) into a rice cooker, add water to the 2 cup mark, add minced meat, and burdock and ginger from (2) and cook (outside of cooking time). ', '(4) When the rice is cooked, mix it gently, put it on a plate, and sprinkle with small onions if you like. ', '*If you are using 3 cups of rice, use 1.5 times the amount above, and if you are using 4 cups of rice, use twice the amount above. ']	613.21	363.11
5	Sukiyaki-style Beef and Chinese Cabbage	Water: 200, Beef: 200, Other leafy vegetables: 500, Sugar: 18, Other alcohol: 30, Soy sauce: 54, Flavor seasoning: 3	['(1) Cut the Chinese cabbage into chunks. ', '(2) Put A into a pot, heat, and when it boils, add the Chinese cabbage and beef from (1), cover and simmer for about 10 minutes. ']	1964.18	483.25
6	Meat-wrapped "Hondashi" Rice Ball	Rice: 163.636, Beef: 180, Other seasoning: 54, Sugar: 12, Edible oil: 4, Other alcohol: 45, Soy sauce: 54, Flavor seasoning: 5.25, Other dried food/seaweed: 9	['(1) Put the rice and A into a bowl, mix, divide into 6 equal parts, and squeeze tightly into a ball shape. ', '(2) Wrap the rice ball from (1) in beef, add potato starch to the end of the roll, and squeeze firmly to shape. ', ' (3) Heat oil in a frying pan and fry the meat (2) with the end of the roll facing down. Once it's grilled, turn it all over and fry until the meat is cooked through. ', '(4) Mix and add B, and turn the heat slightly higher than low, stirring until the broth evaporates. ']	1610.19	671.36
7	Beef and Burdock Cooked Rice	Rice: 300, Water: 0, Beef: 100, Other seasoning: 36, Edible oil: 8, Other alcohol: 15, Salt: 2.5, Soy sauce: 18, Burdock: 50, Flavor seasoning: 3, Green onion: 4, Carrot: 30	['(1) Wash the rice, put it in a colander, and drain the water. Cut the beef into 1cm wide pieces. Lightly peel the burdock and cut the carrot into thin pieces. ', '(2) Heat oil in a frying pan and fry the beef from (1). When the meat changes color, remove from heat and drain into a colander to separate the ingredients and juice. ', '(3) Put the rice and the soup from (2) in a rice cooker, add water until it reaches the 2 cup mark, then add the ingredients from (2) and cook (outside of the cooking time). ', '(4) Once cooked, mix well, serve in a bowl, and top with onions if desired. ']	609.58	378.15
8	Meat and Potatoes	Water: 400, Beef: 150, Other seasoning: 18, Sugar: 9, Edible oil: 12, Onion: 200, Other alcohol: 30, Soy sauce: 36, Flavor seasoning: 3, Carrot: 150, Potato: 450, Green bean: 0	['(1) Cut the onions into 8 wedges, and cut the carrots into 1.5cm wide pieces. Cut the potatoes into quarters. Cut green beans into 3cm lengths. ', '(2) Heat oil in a frying pan over medium heat, add beef and stir-fry. When the meat changes color, add the onions, carrots, and potatoes from (1) in that order and stir-fry. ', '(3) Add A, once it boils, remove the scum, cover and simmer on low heat for 10 minutes, then add B and simmer for another 5 minutes. Add soy sauce and simmer uncovered for 5 minutes. Bring the broth to a boil, turning from the bottom of the frying pan. ', '(4) Place in a bowl and sprinkle with the green beans from (1). ']	701.63	243.26
9	Basic Beef Bowl	Rice: 363.636, Water: 200, Beef: 300, Other seasoning: 54, Onion: 400, Soy sauce: 72, Flavor seasoning: 6, Other pickled vegetables: 0	['(1) Cut the beef into 4-5cm lengths. Cut the onions into thin slices. ', '(2) Put A into a pot, heat it, add the onion from (1), bring it to a boil, then reduce the heat to low and simmer for about 8 minutes until the onion becomes soft. ', '(3) Add B, loosen the beef from (1), bring to a boil, remove the scum, and simmer until the meat is cooked through. ', '(4) Pour rice into a bowl, top with (3), and add pickled ginger. ']	1376.06	676.67
