zh_Food_name,GHG,en_Food_name,Energy/kcal,Protein/g,Fat/g,Carbohydrates /g,Sodium/mg,price/rmb,,,,,,,,,,,
猪肉,5,pork,233,17.8,17.5,0,54,29.09,,,,,,,,,,,
白菜,0.25,Chinese cabbage,17,1.02,0.23,3.51,14,1.34,,,,,,,,,,,
胡萝卜,0.4,carrot,45,0.94,0.35,10.3,87,2.9,,,,,,,,,,,
白萝卜,0.17,White radish,15,0.7,0.1,3.4,39,0.85,,,,,,,,,,,
土豆,0.22,potato,76,2.06,0.25,16.3,3,2.4,,,,,,,,,,,
西红柿,0.72,tomato,19,0.7,0.42,3.84,2.5,3.8,,,,,,,,,,,
牛肉,40,Beef,248,17.5,19.4,0,55,60.69,,,,,,,,,,,
生菜,0.45,lettuce,18,1.09,0.16,4.07,29,2.4,,,,,,,,,,,
青豆,0.37,Green beans,34,1.97,0.28,7.41,2.5,9.75,,,,,,,,,,,
豆腐,1.5,bean curd/Tofu,76,8,4.8,1.9,7,5.4,,,,,,,,,,,
面条,1,Noodles,138,4.5,2.1,25,5,4.4,,,,,,,,,,,
蛋,1.7,Egg,147,12.4,9.96,0.96,129,9.98,,,,,,,,,,,
茄子,0.4,eggplant,22,0.85,0.12,5.4,0,3,,,,,,,,,,,
豆芽,0.45,Bean sprouts,22,4,0.7,2.1,6,1.8,,,,,,,,,,,
辣椒,0.25,chili pepper,27,0.9,0.13,6.65,2.5,4.4,,,,,,,,,,,
黄瓜,0.5,Cucumber,14,0.62,0.18,2.95,2,3.4,,,,,,,,,,,
南瓜,0.4,pumpkin,26,1,0.1,7,1,3,,,,,,,,,,,
蘑菇,0.5,mushroom,36,2.41,0.2,8.17,1,10.7,,,,,,,,,,,
菠菜,0.5,spinach,22,2.91,0.6,2.64,107,3.99,,,,,,,,,,,
西兰花,0.8,broccoli,32,2.57,0.34,6.27,36,4.5,,,,,,,,,,,
虾,10,shrimp,76,15.6,0.8,0.48,475,56,,,,,,,,,,,
鸡肉,3,chicken,138,17.9,7.16,0,63,21,,,,,,,,,,,
笋,0.5,bamboo shoots,27,2.6,0.3,5,4,27,,,,,,,,,,,
牛奶,1.6,Milk,60,3.27,3.2,4.63,38,10,,,,,,,,,,,
鱿鱼,5.7,squid,174,18,7,8,306,70,,,,,,,,,,,
葡萄酒,2,wine,82,0.1,0,2.7,5,100,,,,,,,,,,,
意大利面,2.42,Pasta/Spaghetti,131,5,1.1,25,6,30,,,,,,,,,,,
香肠,5.5,sausage,169,16.7,10.4,0.93,599,70,,,,,,,,,,,
火腿,5.1,ham,106,16.7,3.73,0.27,1040,90,,,,,,,,,,,
鱼,10,fish,203,20.3,13.1,0,49,25,,,,,,,,,,,
章鱼,6.7,octopus,343,14.9,1.8,3,282,80,,,,,,,,,,,
海带,0.5,kelp,12,1.2,0.1,2.1,8.6,8,,,,,,,,,,,
青椒,0.3,green pepper,20,0.72,0.11,4.78,2.5,3.4,,,,,,,,,,,
金枪鱼罐头,7,Canned tuna,90,19,0.94,0.08,219,55,,,,,,,,,,,
韭菜,0.5,leek/Chives,60,1.5,0.3,14,20,4,,,,,,,,,,,
面包屑,2,crumbs/Breadcrumbs,254,12.3,3.55,43.1,450,20,,,,,,,,,,,
面包,1.5,Bread,254,12.3,3.55,43.1,450,20,,,,,,,,,,,
荷兰豆,0.61,Snow peas,27,2.5,0.3,4.9,8.8,14,,,,,,,,,,,
板栗,0.9,chestnut,385,5.29,4.64,80.4,2.5,6.6,,,,,,,,,,,
菠萝,0.7,pineapple,54,0.46,0.21,14.1,2.5,7,,,,,,,,,,,
草莓,1.31,Strawberry,33,0.64,0.22,7.96,2,30,,,,,,,,,,,
橙子,0.5,orange,47,0.91,0.15,11.8,9,8,,,,,,,,,,,
大豆,0.82,soybean,446,36,20,30,2,8,,,,,,,,,,,
红薯,0.22,sweet potato,77,1.58,0.38,17.3,2.5,2.85,,,,,,,,,,,
