zh_Food_name,GHG,en_Food_name,Energy/kcal,Protein /g,Fat/g,Carbohydrates /g,Sodium/mg,price/rmb,url,,,,,,,,,,
猪肉,5,pork,233,17.8,17.5,0,54,29.09,https://cdn.pixabay.com/photo/2016/01/05/09/48/pork-1122171_1280.jpg,,,,,,,,,,
白菜,0.25,Chinese cabbage,17,1.02,0.23,3.51,14,1.34,https://cdn.pixabay.com/photo/2018/10/03/22/08/kohl-3722517_1280.jpg,,,,,,,,,,
胡萝卜,0.4,carrot,45,0.94,0.35,10.3,87,2.9,https://cdn.pixabay.com/photo/2015/03/14/14/00/carrots-673184_1280.jpg,,,,,,,,,,
白萝卜,0.17,White radish,15,0.7,0.1,3.4,39,0.85,https://cdn.pixabay.com/photo/2017/11/09/18/52/white-radish-2934281_1280.jpg,,,,,,,,,,
土豆,0.22,potato,76,2.06,0.25,16.3,3,2.4,https://cdn.pixabay.com/photo/2016/08/11/08/43/potatoes-1585060_1280.jpg,,,,,,,,,,
西红柿,0.72,tomato,19,0.7,0.42,3.84,2.5,3.8,https://cdn.pixabay.com/photo/2020/09/12/21/12/tomatoes-5566741_1280.jpg,,,,,,,,,,
牛肉,40,Beef,248,17.5,19.4,0,55,60.69,https://cdn.pixabay.com/photo/2018/02/08/15/02/meat-3139641_640.jpg,,,,,,,,,,
生菜,0.45,lettuce,18,1.09,0.16,4.07,29,2.4,https://cdn.pixabay.com/photo/2020/09/03/14/40/lettuce-5541474_1280.jpg,,,,,,,,,,
青豆,0.37,Green beans,34,1.97,0.28,7.41,2.5,9.75,https://cdn.pixabay.com/photo/2020/04/18/18/23/vegetables-5060432_1280.jpg,,,,,,,,,,
豆腐,1.5,bean curd/Tofu,76,8,4.8,1.9,7,5.4,https://cdn.pixabay.com/photo/2015/01/12/11/35/slice-the-tofu-597229_640.jpg,,,,,,,,,,
面条,1,Noodles,138,4.5,2.1,25,5,4.4,https://cdn.pixabay.com/photo/2017/07/31/06/22/chongqing-small-surface-2556632_1280.jpg,,,,,,,,,,
蛋,1.7,Egg,147,12.4,9.96,0.96,129,9.98,https://cdn.pixabay.com/photo/2022/07/26/13/55/egg-7345934_1280.jpg,,,,,,,,,,
茄子,0.4,eggplant,22,0.85,0.12,5.4,0,3,https://cdn.pixabay.com/photo/2022/08/08/19/07/eggplant-7373425_1280.jpg,,,,,,,,,,
豆芽,0.45,Bean sprouts,22,4,0.7,2.1,6,1.8,https://cdn.pixabay.com/photo/2015/09/18/16/05/seed-945877_1280.jpg,,,,,,,,,,
辣椒,0.25,chili pepper,27,0.9,0.13,6.65,2.5,4.4,https://cdn.pixabay.com/photo/2017/09/23/18/54/cayenne-peppers-2779828_1280.jpg,,,,,,,,,,
黄瓜,0.5,Cucumber,14,0.62,0.18,2.95,2,3.4,https://cdn.pixabay.com/photo/2021/10/29/16/33/vegetables-6752345_1280.jpg,,,,,,,,,,
南瓜,0.4,pumpkin,26,1,0.1,7,1,3,https://cdn.pixabay.com/photo/2022/10/03/15/07/pumpkin-7496159_1280.jpg,,,,,,,,,,
蘑菇,0.5,mushroom,36,2.41,0.2,8.17,1,10.7,https://cdn.pixabay.com/photo/2018/03/29/17/19/food-3272853_1280.jpg,,,,,,,,,,
菠菜,0.5,spinach,22,2.91,0.6,2.64,107,3.99,https://cdn.pixabay.com/photo/2018/06/08/22/16/spinach-3463248_1280.jpg,,,,,,,,,,
西兰花,0.8,broccoli,32,2.57,0.34,6.27,36,4.5,https://cdn.pixabay.com/photo/2023/01/25/18/46/broccoli-7744338_1280.jpg,,,,,,,,,,
虾,10,shrimp,76,15.6,0.8,0.48,475,56,https://cdn.pixabay.com/photo/2015/09/26/15/33/prawns-959219_1280.jpg,,,,,,,,,,
鸡肉,3,chicken,138,17.9,7.16,0,63,21,https://cdn.pixabay.com/photo/2019/04/07/17/20/chicken-4110208_1280.jpg,,,,,,,,,,
笋,0.5,bamboo shoots,27,2.6,0.3,5,4,27,https://cdn.pixabay.com/photo/2020/03/26/01/37/bamboo-shoot-4968949_1280.jpg,,,,,,,,,,
牛奶,1.6,Milk,60,3.27,3.2,4.63,38,10,https://cdn.pixabay.com/photo/2018/04/25/05/16/food-3348763_1280.jpg,,,,,,,,,,
鱿鱼,5.7,squid,174,18,7,8,306,70,https://cdn.pixabay.com/photo/2017/12/15/16/10/squid-3021304_1280.jpg,,,,,,,,,,
葡萄酒,2,wine,82,0.1,0,2.7,5,100,https://cdn.pixabay.com/photo/2015/10/24/11/09/red-wine-1004255_1280.jpg,,,,,,,,,,
意大利面,2.42,Pasta/Spaghetti,131,5,1.1,25,6,30,https://cdn.pixabay.com/photo/2023/04/26/19/56/pasta-7953208_1280.jpg,,,,,,,,,,
香肠,5.5,sausage,169,16.7,10.4,0.93,599,70,https://cdn.pixabay.com/photo/2014/08/26/15/24/sausage-428067_1280.jpg,,,,,,,,,,
火腿,5.1,ham,106,16.7,3.73,0.27,1040,90,https://pixabay.com/zh/photos/ham-ganda-ham-places-gourmet-3853584/,,,,,,,,,,
鱼,10,fish,203,20.3,13.1,0,49,25,https://cdn.pixabay.com/photo/2024/05/10/10/51/food-8752893_1280.jpg,,,,,,,,,,
章鱼,6.7,octopus,343,14.9,1.8,3,282,80,https://cdn.pixabay.com/photo/2018/03/26/13/40/nature-3262715_1280.jpg,,,,,,,,,,
海带,0.5,kelp,12,1.2,0.1,2.1,8.6,8,https://cdn.pixabay.com/photo/2017/10/29/02/15/kelp-2898776_1280.jpg,,,,,,,,,,
青椒,0.3,green pepper,20,0.72,0.11,4.78,2.5,3.4,https://cdn.pixabay.com/photo/2021/11/12/07/38/vegetable-6788236_1280.jpg,,,,,,,,,,
金枪鱼罐头,7,Canned tuna,90,19,0.94,0.08,219,55,https://cdn.pixabay.com/photo/2019/09/20/05/53/tuna-4490877_1280.jpg,,,,,,,,,,
韭菜,0.5,leek/Chives,60,1.5,0.3,14,20,4,https://cdn.pixabay.com/photo/2016/03/28/22/46/chives-1287096_1280.jpg,,,,,,,,,,
面包屑,2,crumbs/Breadcrumbs,254,12.3,3.55,43.1,450,20,https://cdn.pixabay.com/photo/2016/04/27/13/15/schnitzel-1356600_1280.jpg,,,,,,,,,,
面包,1.5,Bread,254,12.3,3.55,43.1,450,20,https://cdn.pixabay.com/photo/2020/02/13/06/49/dried-percivo-4844693_1280.jpg,,,,,,,,,,
荷兰豆,0.61,Snow peas,27,2.5,0.3,4.9,8.8,14,https://cdn.pixabay.com/photo/2021/12/08/16/21/peas-6856203_1280.jpg,,,,,,,,,,
板栗,0.9,chestnut,385,5.29,4.64,80.4,2.5,6.6,https://cdn.pixabay.com/photo/2016/11/29/04/14/autumn-1867265_1280.jpg,,,,,,,,,,
菠萝,0.7,pineapple,54,0.46,0.21,14.1,2.5,7,https://cdn.pixabay.com/photo/2015/02/14/18/10/pineapple-636562_1280.jpg,,,,,,,,,,
草莓,1.31,Strawberry,33,0.64,0.22,7.96,2,30,https://cdn.pixabay.com/photo/2020/04/22/17/24/strawberry-5079237_1280.jpg,,,,,,,,,,
橙子,0.5,orange,47,0.91,0.15,11.8,9,8,https://cdn.pixabay.com/photo/2017/09/20/06/16/citrus-2767541_1280.jpg,,,,,,,,,,
大豆,0.82,soybean,446,36,20,30,2,8,https://cdn.pixabay.com/photo/2013/02/18/18/35/soya-83087_1280.jpg,,,,,,,,,,
红薯,0.22,sweet potato,77,1.58,0.38,17.3,2.5,2.85,https://cdn.pixabay.com/photo/2018/07/24/13/01/vegetable-3559112_1280.jpg,,,,,,,,,,
核桃,2,walnut,679,14.6,69.7,10.9,2.5,20,https://cdn.pixabay.com/photo/2017/10/04/17/21/walnut-2816934_1280.jpg,,,,,,,,,,
黑米,1,Black rice,361,7.57,3.44,77.2,2.5,6,https://cdn.pixabay.com/photo/2020/12/22/17/03/rice-5852779_1280.jpg,,,,,,,,,,
红豆,1,Red beans,34,21.3,11.6,10,2.5,10,https://cdn.pixabay.com/photo/2022/12/17/19/11/kidney-beans-7662225_1280.jpg,,,,,,,,,,
花生,2,peanut,551,23.2,43.3,26.5,1,9,https://cdn.pixabay.com/photo/2016/10/13/01/04/nuts-1736520_1280.jpg,,,,,,,,,,
黄豆,0.9,soybean,446,36,20,30,2,9,https://cdn.pixabay.com/photo/2020/04/02/11/13/soy-bean-4994576_1280.jpg,,,,,,,,,,
桃子,0.5,peach,42,0.91,0.27,10.1,13,6,https://cdn.pixabay.com/photo/2018/04/12/20/16/peach-3314679_1280.jpg,,,,,,,,,,
莲藕,0.5,lotus root,74,1.8,0.3,17,23,6,https://cdn.pixabay.com/photo/2020/04/28/19/54/lotus-root-5106174_1280.jpg,,,,,,,,,,
螃蟹,7,crab,86,18.6,0.81,0,331,100,https://cdn.pixabay.com/photo/2020/07/06/14/04/crabs-5377162_1280.jpg,,,,,,,,,,
芹菜,0.4,celery,15,0.49,0.16,3.32,97,3.8,https://cdn.pixabay.com/photo/2015/07/31/12/07/soup-greens-869075_1280.jpg,,,,,,,,,,
山药,0.25,yam,118,1.5,0.2,28,9,5.2,https://cdn.pixabay.com/photo/2020/06/19/21/44/yam-5318942_1280.jpg,,,,,,,,,,
扇贝,2,scallops,217,11.1,0.6,2.6,339,40,https://cdn.pixabay.com/photo/2019/12/20/21/29/scallops-4709349_1280.jpg,,,,,,,,,,
蒜,1.66,Minced garlic,141,6,0.5,33,17,8.2,https://cdn.pixabay.com/photo/2015/11/12/01/56/garlic-1039509_1280.jpg,,,,,,,,,,
西葫芦,0.8,courgette/Zucchini,16,1.2,0.3,3.1,8,3.2,https://cdn.pixabay.com/photo/2021/11/19/08/21/zucchini-6808371_1280.jpg,,,,,,,,,,
薏米,0.8,Barley,357,8.72,2.45,77.4,20,16.5,https://www.themediterraneandish.com/wp-content/uploads/2022/03/how-to-cook-barley-6.jpg,,,,,,,,,,
油菜,0.9,rapeseed,25,1.8,0.5,3.8,65,4,https://cdn.pixabay.com/photo/2020/04/27/06/37/oilseed-rape-5098369_1280.jpg,,,,,,,,,,
