食谱_url,食物,成分,食谱名称,img_url,,,,,,,,,,,,,,,
https://park.ajinomoto.co.jp/recipe/card/705346/,猪肉，白菜,"{'Pork':300.0,'Chinese cabbage':1000.0}",猪肉白菜,,,,,,,,,,,,,,,,
https://park.ajinomoto.co.jp/recipe/card/705648/,猪肉，土豆，白萝卜，胡萝卜,"{'Pork': 80.0, 'potato':200.0,'White radish':159,'carrot':80.0}",猪肉汤,,,,,,,,,,,,,,,,
https://park.ajinomoto.co.jp/recipe/card/701794/,土豆，洋葱，白菜，西红柿，胡萝卜,"{'potato':200.0,'onion':100.0,'Chinese cabbage':400.0,'tomato':200.0,'carrot':150}",蔬菜汤,,,,,,,,,,,,,,,,
https://park.ajinomoto.co.jp/recipe/card/703024/,鸡肉，洋葱，蛋,"{'chicken':100,'onion':50,'egg':100}",流鸡蛋,,,,,,,,,,,,,,,,
https://park.ajinomoto.co.jp/recipe/card/800270/,青椒，金枪鱼罐头,"{'green pepper':175,'Canned tuna':70}",青椒金枪鱼,,,,,,,,,,,,,,,,
https://park.ajinomoto.co.jp/recipe/card/706807/,猪肉，白菜，洋葱，胡萝卜，豆芽，韭菜,"{'pork':100,'cabbage':100,'onion':20,'carrot':50,'Bean sprouts':30,'leek/Chives':50}",白菜胡萝卜洋葱炒猪肉,,,,,,,,,,,,,,,,
https://park.ajinomoto.co.jp/recipe/card/705646/,猪肉，蛋，洋葱，面包屑,"{'pork':200,'onion':100,'cabbage':200,'crumbs/Breadcrumbs':50}",卷心菜卷,,,,,,,,,,,,,,,,
https://park.ajinomoto.co.jp/recipe/card/705645/,牛肉，洋葱，胡萝卜，土豆,"{'Beef':150,'onion':200,'carrot':150,'potato':450}",土豆炖牛肉,,,,,,,,,,,,,,,,
https://park.ajinomoto.co.jp/recipe/card/705936/,面条，猪肉，洋葱，蘑菇，白菜，胡萝卜,"{'Noodles':500,'Pork':100,'onion':20,'mushroom':50,'cabbage':150,'carrot':20}",炒面,,,,,,,,,,,,,,,,
https://park.ajinomoto.co.jp/recipe/card/709084/,白菜，牛肉,"{'Beef':200,'cabbage':500}",大白菜牛肉寿喜烧风格,,,,,,,,,,,,,,,,
https://park.ajinomoto.co.jp/recipe/card/706027/,牛肉，萝卜,"{'Beef':200,'White radish':600}",萝卜牛肉,,,,,,,,,,,,,,,,
https://park.ajinomoto.co.jp/recipe/card/706985/,鸡肉，西红柿，洋葱，土豆，蘑菇，菠菜,"{'chicken':600,'tomato':600,'onion':100,'potato':300,'mushroom':100,'spinach':100}",番茄锅,,,,,,,,,,,,,,,,
https://park.ajinomoto.co.jp/recipe/card/705931/,西葫芦，茄子，芹菜，洋葱，西红柿,"{'courgette/Zucchini':300,'eggplant':600,'celery':30,'onion':100,'tomato':400}",茄子西红柿西葫芦,,,,,,,,,,,,,,,,
https://park.ajinomoto.co.jp/recipe/card/800910/,生菜，鸡蛋,"{'lettuce':120,'egg':200}",生菜鸡蛋汤,,,,,,,,,,,,,,,,
